"C1","0.1uF","0603-CAP","74549","45466","180","0"
"LED1","NA","CHIPLED_1206","91440","55880","90","0"
"LED2","NA","CHIPLED_1206","91107","59047","282","0"
"LED3","NA","CHIPLED_1206","90122","62078","114","0"
"LED4","NA","CHIPLED_1206","88529","64839","306","0"
"LED5","NA","CHIPLED_1206","86398","67206","138","0"
"LED6","NA","CHIPLED_1206","83820","69078","330","0"
"LED7","NA","CHIPLED_1206","80909","70373","162","0"
"LED8","NA","CHIPLED_1206","77793","71036","354","0"
"LED9","NA","CHIPLED_1206","74607","71036","186","0"
"LED10","NA","CHIPLED_1206","71491","70373","18","0"
"LED11","NA","CHIPLED_1206","68580","69078","210","0"
"LED12","NA","CHIPLED_1206","66002","67206","42","0"
"LED13","NA","CHIPLED_1206","63871","64839","234","0"
"LED14","NA","CHIPLED_1206","62278","62078","66","0"
"LED15","NA","CHIPLED_1206","61293","59047","258","0"
"LED16","NA","CHIPLED_1206","60960","55880","90","0"
"LED17","NA","CHIPLED_1206","61293","52713","282","0"
"LED18","NA","CHIPLED_1206","62278","49682","114","0"
"LED19","NA","CHIPLED_1206","63871","46921","306","0"
"LED20","NA","CHIPLED_1206","66002","44554","138","0"
"LED21","NA","CHIPLED_1206","68580","42682","330","0"
"LED22","NA","CHIPLED_1206","71491","41387","162","0"
"LED23","NA","CHIPLED_1206","74607","40724","354","0"
"LED24","NA","CHIPLED_1206","77793","40724","186","0"
"LED25","NA","CHIPLED_1206","80909","41387","18","0"
"LED26","NA","CHIPLED_1206","83820","42682","210","0"
"LED27","NA","CHIPLED_1206","86398","44554","42","0"
"LED28","NA","CHIPLED_1206","88529","46921","234","0"
"LED29","NA","CHIPLED_1206","90122","49682","66","0"
"LED30","NA","CHIPLED_1206","91107","52713","258","0"
"R1","220","0805","68453","52959","180","0"
"R2","220","0805","68453","50927","180","0"
"R3","220","0805","68453","59055","180","0"
"R4","220","0805","68453","57023","180","0"
"R5","220","0805","68453","54957","180","0"
"R6","NA","1206","83185","58293","270","0"
"R7","220","0805","68453","61087","180","0"
"S1","NA","TACTILE_SWITCH_SMD","76200","63500","0","0"
"U$1","tiny2313","MLF20","76200","57150","225","0"
"BAT1","NA","SPARKFUN_BATTCON_20MM","76327","60452","0","1"
"SG1","NA","BUZZER-CCV","76200","43180","180","1"
